location,new_cases,gdp_per_capita
Afghanistan,175533.0,1803.9869999999821
Africa,11377913.0,
Albania,272412.0,11803.430999999908
Algeria,265346.0,13913.83899999984
Andorra,38794.0,
Angola,98855.0,5819.495000000083
Anguilla,2574.0,
Antigua and Barbuda,7463.0,21490.942999999974
Argentina,8955458.0,18933.906999999763
Armenia,421592.0,8787.58000000006
Aruba,33732.0,35973.78099999972
Asia,122863447.0,
Australia,3525635.0,44648.71000000066
Austria,2972647.0,45436.68600000047
Azerbaijan,789883.0,15847.418999999887
Bahamas,33228.0,27717.84699999952
Bahrain,532265.0,43290.70499999918
Bangladesh,1948471.0,3523.9840000000186
Barbados,56551.0,16978.067999999974
Belarus,934187.0,17167.967000000142
Belgium,3609122.0,42658.57600000051
Belize,56976.0,7824.361999999996
Benin,26784.0,2064.2360000000176
Bermuda,11743.0,50669.315000000344
Bhutan,15946.0,8708.597000000053
Bolivia,896315.0,6885.828999999933
Bonaire Sint Eustatius and Saba,7633.0,
Bosnia and Herzegovina,372817.0,11713.894999999779
Botswana,263950.0,15807.373999999872
Brazil,29093019.0,14103.451999999766
British Virgin Islands,6091.0,
Brunei,100191.0,71809.25100000024
Bulgaria,1107888.0,18563.307000000026
Burkina Faso,20751.0,1703.1019999999783
Burundi,38209.0,702.2249999999912
Cambodia,133263.0,3645.0699999999733
Cameroon,119322.0,3364.925999999981
Canada,3356440.0,44017.59099999906
Cape Verde,55904.0,6222.553999999974
Cayman Islands,19811.0,49903.028999999384
Central African Republic,14320.0,661.2399999999939
Chad,7260.0,1768.153000000006
Chile,3230793.0,22767.03700000013
China,111609.0,15308.711999999889
Colombia,6074155.0,13254.948999999893
Comoros,8051.0,1413.890000000012
Congo,24041.0,4881.405999999966
Cook Islands,2.0,
Costa Rica,820445.0,15524.994999999855
Cote d'Ivoire,81605.0,3601.006000000041
Croatia,1067589.0,22669.79700000016
Cuba,1074469.0,
Curacao,39185.0,
Cyprus,341383.0,32415.131999999594
Czechia,3656351.0,32605.90599999974
Democratic Republic of Congo,86271.0,808.1329999999917
Denmark,2910722.0,46682.51500000042
Djibouti,15564.0,2705.4059999999718
Dominica,11496.0,9673.366999999887
Dominican Republic,576220.0,14600.860999999746
Ecuador,855233.0,10581.935999999941
Egypt,493658.0,10550.206000000055
El Salvador,156456.0,7292.457999999985
Equatorial Guinea,15894.0,22604.87299999977
Eritrea,9718.0,1510.4590000000103
Estonia,523279.0,29481.252000000255
Eswatini,69351.0,7738.974999999955
Ethiopia,469095.0,1729.927
Europe,163735370.0,
European Union,113788848.0,
Faeroe Islands,34658.0,
Falkland Islands,118.0,
Fiji,64060.0,8702.9749999999
Finland,703052.0,40585.72100000059
France,23710590.0,38605.67100000008
French Polynesia,69595.0,
Gabon,47564.0,16562.413000000113
Gambia,12063.0,1561.766999999994
Georgia,1629930.0,9745.078999999927
Germany,16589967.0,45229.24500000022
Ghana,160667.0,4227.629999999928
Gibraltar,15922.0,
Greece,2561503.0,24574.381999999685
Greenland,11833.0,
Grenada,13707.0,13593.877000000164
Guatemala,798400.0,7423.808000000111
Guernsey,0.0,
Guinea,36427.0,1998.9259999999829
Guinea-Bissau,8039.0,1548.6750000000204
Guyana,63105.0,7435.0469999999805
Haiti,30430.0,1653.1729999999761
High income,244208635.0,
Honduras,414734.0,4541.794999999955
Hong Kong,551257.0,56054.92000000107
Hungary,1809917.0,26777.56100000036
Iceland,153245.0,46482.95800000029
India,42980067.0,6426.67400000002
Indonesia,5826589.0,11188.743999999951
International,721.0,
Iran,7107167.0,19082.619999999715
Iraq,2310539.0,15663.985999999733
Ireland,1337082.0,67335.29299999966
Isle of Man,23962.0,
Israel,3692204.0,33132.32000000023
Italy,13159490.0,35220.08399999975
Jamaica,128246.0,8193.571000000136
Japan,5549753.0,39002.22300000037
Jersey,0.0,
Jordan,1654787.0,8337.490000000143
Kazakhstan,1451802.0,24055.58799999986
Kenya,323129.0,2993.0279999999752
Kiribati,3006.0,1981.131999999993
Kosovo,226729.0,9795.833999999864
Kuwait,624573.0,65530.53700000036
Kyrgyzstan,200671.0,3393.4739999999674
Laos,144759.0,6397.35999999999
Latvia,719813.0,25063.84600000042
Lebanon,1081463.0,13367.565000000068
Lesotho,32716.0,2851.152999999982
Liberia,7513.0,752.7879999999983
Libya,499132.0,17881.508999999754
Liechtenstein,13475.0,
Lithuania,944968.0,29524.26500000031
Low income,1808515.0,
Lower middle income,84279235.0,
Luxembourg,191178.0,94277.9650000018
Macao,81.0,104861.85100000066
Madagascar,63798.0,1416.439999999974
Malawi,85461.0,1095.0420000000086
Malaysia,3711199.0,26808.164000000445
Maldives,173666.0,15183.61600000022
Mali,30402.0,2014.306000000018
Malta,72310.0,36513.322999999815
Marshall Islands,8.0,3819.202000000033
Mauritania,58656.0,3597.632999999952
Mauritius,169938.0,20292.744999999704
Mexico,5583993.0,17336.46900000008
Micronesia (country),1.0,3299.463999999992
Moldova,506222.0,5189.9720000000425
Monaco,9666.0,
Mongolia,914016.0,11840.845999999943
Montenegro,231227.0,16409.288000000106
Montserrat,164.0,
Morocco,1161848.0,7485.013000000006
Mozambique,225175.0,1136.1030000000026
Myanmar,602321.0,5591.597000000043
Namibia,157366.0,9541.808000000126
Nauru,0.0,12895.63499999991
Nepal,977710.0,2442.8040000000033
Netherlands,7005830.0,48472.545000000915
New Caledonia,59164.0,
New Zealand,286755.0,36085.842999999586
Nicaragua,18203.0,5321.444000000037
Niger,8778.0,926.0
Nigeria,254777.0,5338.45399999994
Niue,0.0,
North America,93612118.0,
North Macedonia,300398.0,13111.213999999847
Northern Cyprus,0.0,
Norway,1333793.0,64800.05699999889
Oceania,4063967.0,
Oman,385769.0,37960.70899999971
Pakistan,1516789.0,5034.70800000007
Palau,3888.0,13240.404999999977
Palestine,652763.0,4449.898000000036
Panama,758613.0,22267.037000000117
Papua New Guinea,41549.0,3823.193999999999
Paraguay,645020.0,8827.009999999851
Peru,3528939.0,12236.706000000073
Philippines,3669294.0,7599.188000000065
Pitcairn,0.0,
Poland,5774938.0,27216.445000000218
Portugal,3367630.0,27936.89600000014
Qatar,358694.0,116935.59999999948
Romania,2781086.0,23313.1989999996
Russia,16893631.0,24765.95399999992
Rwanda,129569.0,1854.2109999999834
Saint Helena,4.0,
Saint Kitts and Nevis,5537.0,24654.384999999893
Saint Lucia,22811.0,12951.838999999854
Saint Pierre and Miquelon,1222.0,
Saint Vincent and the Grenadines,9865.0,10727.145999999908
Samoa,41.0,6021.557000000021
San Marino,14629.0,56861.469999999405
Sao Tome and Principe,5939.0,3052.7139999999713
Saudi Arabia,748121.0,49045.41099999928
Senegal,85775.0,2470.5800000000213
Serbia,1932814.0,14048.880999999865
Seychelles,39610.0,26382.287000000168
Sierra Leone,7666.0,1390.3000000000172
Singapore,885593.0,85535.38300000093
Sint Maarten (Dutch part),0.0,36327.232000000084
Slovakia,2231352.0,30155.15199999992
Slovenia,909863.0,31400.83999999987
Solomon Islands,8494.0,2205.9229999999775
Somalia,26400.0,
South Africa,3669837.0,12294.87600000012
South America,54797159.0,
South Korea,5539649.0,35938.3740000006
South Sudan,17034.0,1569.8880000000142
Spain,11266346.0,34272.359999999644
Sri Lanka,654336.0,11669.076999999797
Sudan,61656.0,4466.507000000068
Suriname,78654.0,13767.119000000102
Sweden,2462952.0,46949.28299999984
Switzerland,3008537.0,57410.16600000057
Syria,55193.0,
Taiwan,21001.0,
Tajikistan,17786.0,2896.9129999999577
Tanzania,33726.0,2683.3040000000033
Thailand,3111871.0,16277.67100000008
Timor,22777.0,6570.101999999962
Togo,36843.0,1429.812999999988
Tokelau,0.0,
Tonga,1220.0,5425.621000000028
Trinidad and Tobago,131378.0,28763.071000000004
Tunisia,1017907.0,10849.297000000068
Turkey,13635656.0,25129.340999999855
Turkmenistan,0.0,16389.023000000034
Turks and Caicos Islands,5868.0,
Tuvalu,0.0,3575.104000000005
Uganda,163559.0,1697.7070000000122
Ukraine,5040518.0,7894.393000000089
United Arab Emirates,883985.0,67293.48300000055
United Kingdom,18588857.0,39753.24399999979
United States,79406601.0,54225.446000000054
Upper middle income,120141389.0,
Uruguay,859186.0,20551.40899999999
Uzbekistan,237045.0,6253.103999999954
Vanuatu,95.0,2921.9089999999896
Vatican,29.0,
Venezuela,517164.0,16745.02199999991
Vietnam,5042036.0,6171.884
Wallis and Futuna,454.0,
Western Sahara,0.0,
World,450450695.0,15469.207000000246
Yemen,11782.0,1479.1469999999974
Zambia,314641.0,3689.2510000000157
Zimbabwe,240349.0,1899.7749999999905
